"","well_id","Company","Analyst","Field","Location","Platform","NumWelltests","PVT_GOR","PVT_API","PVT_SG_gas","PVT_BPTEMP","PVT_BPPRES","IPR_RESPRES","IPR_RESTEMP","IPR_TOTGOR","IPR_WC"
"1","80b81db0","33957957","b9dfc99c","2fa3c6ca","249ffdc3","20711b1b",15,772,40,0.81,170,2388,2261,170,1277,72
"2","d8db0de6","33957957","b9dfc99c","2fa3c6ca","249ffdc3","20711b1b",12,772,40,0.81,170,2388,2408,170,3091,71
"3","15810378","33957957","b9dfc99c","2fa3c6ca","249ffdc3","20711b1b",17,512,32,0.76,165,2240,2252,165,1888,72
"4","60676a83","33957957","5701c0f","2fa3c6ca","249ffdc3","20711b1b",3,1064,40,0.83,194,3244,2591,194,1349,55
"5","2b5c351f","33957957","5701c0f","2fa3c6ca","249ffdc3","b468447",6,668,37,0.8,168,2323,1940,168,17967,96
"6","bc35d424","33957957","5701c0f","2fa3c6ca","249ffdc3","b468447",6,1064,40,0.83,194,3244,3130,172,10874,95
"7","cd504ef0","33957957","576d37a1","2fa3c6ca","249ffdc3","54a9da0f",4,482,31,0.75,164,2205,2350,164,1513,56
"8","2a472529","33957957","576d37a1","2fa3c6ca","249ffdc3","b468447",5,783,40,0.81,171,2447,2300,171,1138,0
"9","a43ea248","33957957","576d37a1","2fa3c6ca","249ffdc3","b468447",8,681,37,0.8,169,2367,2300,169,1428,71
"10","6964acd6","33957957","576d37a1","2fa3c6ca","249ffdc3","b468447",7,482,31,0.75,164,2205,2090,164,1770,79
"11","c36d645d","33957957","576d37a1","2fa3c6ca","249ffdc3","b468447",4,783,40,0.81,171,2447,2500,171,947,41
"12","163c1caf","33957957","576d37a1","2fa3c6ca","249ffdc3","b468447",5,482,31,0.75,164,2205,2100,164,19995,81
"13","347ab9ea","33957957","4f793bd8","2fa3c6ca","249ffdc3","3bec6081",2,835,41,0.86,172,2485,2402,172,835,86
"14","5fa14cd2","33957957","4f793bd8","2fa3c6ca","249ffdc3","54a9da0f",1,512,32,0.76,165,2240,2252,165,24770,7
"15","8155fd94","33957957","4f793bd8","2fa3c6ca","249ffdc3","b468447",8,681,37,0.8,169,2367,2381,169,2436,65
"16","e376ac3","33957957","4f793bd8","2fa3c6ca","249ffdc3","b468447",2,835,41,0.86,172,2485,2496,172,1876,88
"17","af6d9bee","33957957","94c7a39f","2fa3c6ca","249ffdc3","20711b1b",16,772,40,0.81,170,2388,2261,170,1546,88
"18","e71d2bb7","33957957","94c7a39f","2fa3c6ca","249ffdc3","54a9da0f",4,482,31,0.75,164,2205,2214,164,482,1
"19","f03fad26","33957957","94c7a39f","2fa3c6ca","249ffdc3","54a9da0f",9,283,23,0.68,156,1920,1938,156,7928,62
"20","35844faf","33957957","94c7a39f","2fa3c6ca","249ffdc3","54a9da0f",11,681,37,0.8,169,2367,2200,169,681,34
"21","f8de4131","33957957","94c7a39f","2fa3c6ca","249ffdc3","54a9da0f",14,283,23,0.68,156,1920,1938,156,2083,52
"22","a21494e0","33957957","727472e3","2fa3c6ca","249ffdc3","20711b1b",7,835,41,0.86,172,2485,2402,172,835,61
"23","62379570","33957957","727472e3","2fa3c6ca","249ffdc3","20711b1b",3,512,32,0.76,165,2240,2100,165,1930,90
"24","f920b774","33957957","727472e3","2fa3c6ca","249ffdc3","3bec6081",2,835,41,0.86,172,2485,2402,172,835,86
"25","4232d9a7","33957957","727472e3","2fa3c6ca","249ffdc3","54a9da0f",6,681,37,0.8,169,2367,2200,169,1343,86
